# Generated by ChargePol
#charge (pos/neg), time (UT sec), bottom height of layer (km), depth of layer (km), x distance from LMA center (km), y distance from LMA center (km), longitude, latitude
charge,time,zmin,zwidth,x,y,lon,lat
# Generated by ChargePol
#charge (pos/neg), time (UT sec), bottom height of layer (km), depth of layer (km), x distance from LMA center (km), y distance from LMA center (km), longitude, latitude
charge,time,zmin,zwidth,x,y,lon,lat
pos,21314.400840,10.482410,0.269600,0.043352,116.785046,-95.369545,30.812752
pos,21314.627652,8.005080,0.507130,-16.688907,114.425415,-95.545128,30.791481
pos,21320.106664,9.474450,0.966220,-26.935669,78.825921,-95.651718,30.470572
pos,21370.091916,8.422030,0.949430,2.418570,105.026458,-95.344643,30.706755
pos,21424.829733,8.779150,0.980550,3.348624,118.715576,-95.334846,30.830154
pos,21480.216632,8.287490,0.868450,-20.053128,102.701527,-95.580200,30.685797
pos,21504.023115,9.033770,0.932230,-24.407434,77.820665,-95.625252,30.461510
pos,21512.739482,9.844510,1.218200,-104.814170,61.884481,-96.464531,30.317854
pos,21533.930092,9.097350,1.503960,-14.075534,98.668869,-95.517487,30.649445
pos,21535.004076,8.241740,1.034350,-27.485514,99.723636,-95.658028,30.658953
pos,21543.078511,10.382890,1.285580,-113.932936,90.612862,-96.562920,30.576824
pos,21548.538985,9.814640,0.915130,-7.597183,98.028603,-95.449600,30.643673
pos,21573.708445,9.462260,0.881080,-9.977626,99.508874,-95.474556,30.657017
pos,21601.593167,9.548270,0.869110,-14.349607,99.533206,-95.520370,30.657236
pos,21604.319422,9.251130,1.393360,-21.811422,81.962927,-95.598190,30.498850
pos,21642.005274,8.144590,0.995780,-4.543193,80.946669,-95.417526,30.489689
pos,21645.480696,11.141090,0.000000,9.031445,122.613453,-95.275154,30.865292
pos,21661.561187,7.791620,1.069600,-40.669923,54.881759,-95.794426,30.254728
pos,21679.265635,9.167020,0.997570,-22.872518,81.945576,-95.609291,30.498693
pos,21770.314883,10.926240,0.610290,-101.777453,53.241740,-96.431976,30.239944
pos,21790.127752,8.931720,0.688550,-24.544244,85.346433,-95.626862,30.529350
pos,21799.108595,11.891040,0.746300,0.313657,95.269282,-95.366714,30.618799
pos,21800.340262,8.265740,1.202420,-5.439263,77.124752,-95.426880,30.455236
pos,21833.639012,7.199770,0.574800,-39.195289,61.797095,-95.779297,30.317066
pos,21835.088068,9.636160,0.799399,-16.933849,79.857624,-95.547127,30.479872
pos,21840.438316,8.878230,1.021750,-4.809216,79.709090,-95.420303,30.478533
pos,21850.177586,10.647140,0.922420,-100.539532,53.878832,-96.419121,30.245687
pos,21870.432012,10.258470,0.996090,1.825575,91.783790,-95.350883,30.587379
pos,21909.684589,10.574430,1.894170,-98.913502,53.392179,-96.402107,30.241301
pos,21925.744307,9.946110,0.567939,-16.386547,80.027318,-95.541405,30.481401
pos,21971.367528,9.014760,1.253061,-91.900514,41.162807,-96.327858,30.131060
pos,21975.430669,10.078010,1.147550,-20.061665,84.076269,-95.579926,30.517900
pos,21992.862580,8.590900,0.662729,12.190994,98.355507,-95.242264,30.646620
pos,22010.147440,9.919530,0.948790,-101.460750,80.738889,-96.431358,30.487816
pos,22035.177620,10.856400,1.029390,7.447422,102.167479,-95.291939,30.680983
pos,22063.691326,9.362260,1.146601,-15.675195,83.181039,-95.534012,30.509830
pos,22084.517615,10.874090,0.601610,-93.716009,42.598644,-96.346909,30.144003
pos,22129.105912,9.838330,1.421370,7.217027,100.577394,-95.294365,30.666649
pos,22129.183342,8.456920,1.787000,-1.450588,104.694264,-95.385208,30.703760
pos,22129.479300,8.428080,1.183300,9.425660,121.276428,-95.271027,30.853239
pos,22132.201958,8.065050,1.644391,-34.861027,55.269812,-95.733818,30.258226
pos,22140.549778,11.324410,0.614109,-97.010343,62.484968,-96.383095,30.323267
pos,22156.142143,12.997800,0.315110,10.524751,173.045700,-95.258942,31.319910
pos,22181.518729,9.895460,1.059590,21.658864,116.383452,-95.142677,30.809132
pos,22195.046891,10.538170,0.310260,7.310677,100.958887,-95.293381,30.670088
pos,22220.462836,10.411590,0.558280,-94.901942,62.735277,-96.361099,30.325523
pos,22220.777847,10.691330,0.421500,-97.232878,53.353458,-96.384567,30.240952
pos,22233.398894,8.478050,1.503920,-16.042770,85.580661,-95.537895,30.531462
pos,22295.313951,10.198640,1.183480,24.996557,147.593762,-95.106873,31.090475
pos,22353.196405,8.247760,1.193710,-88.507899,35.155819,-96.291992,30.076910
pos,22391.520699,8.930530,2.233399,-83.401202,37.044667,-96.238945,30.093937
pos,22402.178106,8.799270,0.285961,-11.919651,106.447695,-95.494987,30.719566
pos,22450.463365,7.854970,2.016370,-35.713574,63.684673,-95.743004,30.334082
pos,22456.172043,10.703220,0.556190,-95.534488,57.756396,-96.367249,30.280642
pos,22516.569706,12.538270,0.754761,27.576555,134.335860,-95.080078,30.970963
pos,22540.170468,8.808920,0.000000,0.071175,86.325874,-95.369255,30.538179
pos,22588.584985,9.447850,1.153351,11.325178,101.166455,-95.251305,30.671959
pos,22589.272600,9.711950,0.950040,21.727326,114.534595,-95.141998,30.792465
pos,22605.073728,9.444250,1.891190,-87.081869,42.994949,-96.277786,30.147575
pos,22605.323942,10.098820,1.085330,-82.574349,41.336098,-96.230667,30.132622
pos,22625.263148,9.114480,0.526029,-11.226440,88.174308,-95.487518,30.554842
pos,22699.057978,9.605220,0.414130,-14.454718,44.093091,-95.520699,30.157475
